,timestamp,R1,RSS1,R2,RSS2,R3,RSS3,R4,RSS4,R5,RSS5,R6,RSS6,R7,RSS7,R8,RSS8,X_M1,Y_M1,Z_M1,X_M2,Y_M2,Z_M2,X_M3,Y_M3,Z_M3,X_M4,Y_M4,Z_M4
0,1541177323,2.827,-88,2.0269999999999997,-81,2.261,-85,3.071,-82,2.6639999999999997,-84,2.93,-83,2.032,-82,2.9589999999999996,-83,-0.581375,0.406197,-0.601156,-0.603195,0.40424899999999997,-0.711671,-0.49463199999999996,0.40566199999999997,-0.7346060000000001,-0.47255,0.405536,-0.6250560000000001
1,1541177323,2.818,-85,1.966,-81,2.237,-83,3.08,-83,2.668,-83,2.949,-83,2.055,-82,2.987,-84,-0.5799890000000001,0.40597,-0.591713,-0.600491,0.404895,-0.70272,-0.491595,0.406008,-0.723831,-0.471441,0.405303,-0.6143029999999999
2,1541177323,2.841,-86,2.0269999999999997,-80,2.27,-84,3.052,-82,2.654,-83,2.9539999999999997,-84,2.046,-82,2.963,-83,-0.579309,0.405939,-0.5825779999999999,-0.598286,0.405092,-0.693442,-0.48971000000000003,0.406602,-0.713903,-0.47040200000000004,0.405542,-0.6042109999999999
3,1541177324,2.846,-85,1.999,-81,2.298,-84,3.062,-83,2.659,-82,2.935,-84,2.069,-81,2.94,-83,-0.578604,0.40580700000000003,-0.574982,-0.596849,0.405803,-0.685908,-0.48808100000000004,0.407063,-0.705342,-0.469459,0.405442,-0.5952569999999999
4,1541177324,2.827,-86,2.013,-80,2.289,-84,3.029,-82,2.654,-82,2.935,-85,2.083,-82,2.949,-83,-0.578706,0.40591,-0.568774,-0.5954689999999999,0.405829,-0.6794680000000001,-0.485731,0.407292,-0.697825,-0.469084,0.405469,-0.587621
5,1541177324,2.846,-85,1.999,-81,2.303,-85,3.071,-84,2.678,-83,2.888,-83,2.06,-81,2.9589999999999996,-83,-0.577996,0.406111,-0.562828,-0.593389,0.405559,-0.674346,-0.483993,0.407314,-0.691109,-0.468679,0.405551,-0.580579
6,1541177324,2.86,-87,1.9569999999999999,-80,2.312,-83,3.0189999999999997,-82,2.6310000000000002,-83,2.9160000000000004,-83,2.074,-81,2.9210000000000003,-83,-0.579112,0.406145,-0.5587439999999999,-0.592125,0.405482,-0.669891,-0.482458,0.406935,-0.685175,-0.468512,0.405763,-0.57417
7,1541177324,2.855,-86,1.985,-80,2.294,-84,3.015,-83,2.659,-83,2.888,-83,2.083,-82,2.944,-83,-0.578724,0.406783,-0.553775,-0.59073,0.405541,-0.665164,-0.480472,0.406744,-0.678525,-0.46849300000000005,0.406008,-0.567825
8,1541177324,2.8739999999999997,-85,1.975,-80,2.322,-84,3.0010000000000003,-83,2.6210000000000004,-82,2.8930000000000002,-84,2.088,-82,2.9589999999999996,-82,-0.579038,0.406722,-0.549457,-0.589795,0.404986,-0.660971,-0.479239,0.406659,-0.67296,-0.469017,0.406145,-0.562081
9,1541177324,2.8739999999999997,-88,2.032,-81,2.336,-84,3.0189999999999997,-83,2.65,-82,2.8739999999999997,-83,2.083,-81,2.944,-83,-0.5804520000000001,0.406769,-0.545103,-0.588304,0.405085,-0.656397,-0.477335,0.406489,-0.6663279999999999,-0.469145,0.406384,-0.554858
